NCR (National Capital Region),District,20th Congress,19th congress,18th Congress,17th Congress,16th Congress,15th Congress,14th Congress,13th Congress,12th Congress,11th Congress,10th Congress,9th Congress,8th Congress
CARAGA (Caraga Administrative Region),"Agusan del Norte, 1st District","Aquino, Jose II ""Joboy"" S","Aquino, Jose II ""Joboy"" S","Fortun, Lawrence Lemuel ""Law"" H.","Fortun, Lawrence Lemuel ""Law"" H.","Fortun, Lawrence Lemuel ""Law"" H.","Aquino, Jose II ""Joboy"" S.","Aquino, Jose II ""Joboy"" S.","Banaag, Leovigildo Briones","Banaag, Leovigildo Briones","Banaag, Leovigildo Briones","Plaza, Charito ""Ching"" Booc","Plaza, Charito ""Ching"" Booc","Plaza, Charito ""Ching"" Booc"
BARMM (Bangsamoro Autonomous Region in Muslim Mindanao),"Sulu, 2nd District","Arbison, Munir M.","Arbison, Munir M.","Arbison, Abdulmunir ""Munir"" Mundoc","Arbison, Abdulmunir ""Munir"" Mundoc","Arbison, Maryam N.","Sahidulla, Nur-Ana ""Lady Ann"" I.","Arbison, Abdulmunir ""Munir"" Mundoc","Arbison, Abdulmunir ""Munir"" Mundoc","Arbison, Abdulmunir ""Munir"" Mundoc","Tammang, Asani S.","Tammang, Asani S.","Tammang, Asani S.","Anni, Arden S."
Region I (Ilocos Region),"Pangasinan, 3rd District","Arenas, Maria Rachel J. ","Arenas, Maria Rachel ""Baby"" Jimenez","Arenas, Rose Marie ""Baby"" J.","Arenas, Rose Marie ""Baby"" J.","Arenas, Rose Marie ""Baby"" J.","Arenas, Maria Rachel J.","Arenas, Maria Rachel J.","Tulagan, Generoso Sr. Dela Cruz","Tulagan, Generoso Sr. Dela Cruz","Tulagan, Generoso Sr. Dela Cruz","Acuña, Eric Galo P.","Acuña, Eric Galo P.","Sison, Fabian ""Paping"" S."
Region IV-A (CALABARZON),"Quezon, 3rd District","Arrongancia, Reynate U.","Arrongancia, Reynante ""Reynan"" U","Suarez, Aleta Catarina","Suarez, Danilo ""Danny"" Etorma","Suarez, Aleta Catarina","Suarez, Danilo ""Danny"" Etorma","Suarez, Danilo ""Danny"" Etorma","Suarez, Danilo ""Danny"" Etorma","Suarez, Aleta Catarina","Suarez, Danilo ""Danny"" Etorma","Suarez, Danilo ""Danny"" Etorma","Suarez, Danilo ""Danny"" Etorma","Marquez, Bienvenido Jr. O."
Region III (Central Luzon),"Pampanga, 2nd District","Arroyo, Gloria ""GMA"" Macapagal","Arroyo, Gloria ""GMA"" Macapagal","Arroyo, Juan Miguel ""Mikey"" Macapagal","Macapagal-Arroyo, Gloria","Macapagal-Arroyo, Gloria","Macapagal-Arroyo, Gloria","Arroyo, Juan Miguel ""Mikey"" Macapagal","Arroyo, Juan Miguel ""Mikey"" Macapagal","Cruz-Ducut, Zenaida G.","Cruz-Ducut, Zenaida G.","Cruz-Ducut, Zenaida G.","Lingad, Emigdio L.","Lingad, Emigdio L."
NCR (National Capital Region),"Caloocan city, 3rd District","Asistio, Dean","Asistio, Dean",,,,,,,,,,,
NCR (National Capital Region),"Quezon City, 1st District","Atayde, Juan Carlos ""Arjo"" C.","Atayde, Juan Carlo ""Arjo"" Campo","Crisologo, Anthony Peter ""Onyx"" D.","Crisologo, Vincent ""Bingbong"" P.","Calalay, Francisco Jr. Aldana","Crisologo, Vincent ""Bingbong"" P.","Crisologo, Vincent ""Bingbong"" P.","Crisologo, Vincent ""Bingbong"" P.","Calalay, Reynaldo Aldana","Calalay, Reynaldo Aldana","Calalay, Reynaldo Aldana","Yap, Renato A.","Yap, Renato A."
Region VII (Central Visayas),"Bohol, 2nd District","Aumentado, Maria Vanessa ""Vanvan""","Aumentado, Maria Vanessa Cardona","Aumentado, Erico Aristotle C.","Aumentado, Erico Aristotle C.","Aumentado, Erico Aristotle C.","Aumentado, Erico Boyles","Cajes, Roberto Castaño","Cajes, Roberto Castaño","Cajes, Roberto Castaño","Aumentado, Erico Boyles","Aumentado, Erico Boyles","Aumentado, Erico Boyles","Tirol, David B."
BARMM (Bangsamoro Autonomous Region in Muslim Mindanao),"Lanao del Sur, 2nd District","Balindog, Yasser Alonto","Balindog, Yasser Alonto","Balindong, Yasser Alonto","Papandayan, Mauyag Jr. ""Jun"" Balt","Balindong, Ali Pangalian M.","Balindong, Ali Pangalian M.","Balindong, Ali Pangalian M.","Macarambon, Benasing Jr. O.","Macarambon, Benasing Jr. O.","Macarambon, Benasing Jr. O.","Balindong, Ali Pangalian M.","Dimaporo, Mohammad Ali Marahom","Dimaporo, Mohammad Ali Marahom"
Region I (Ilocos Region),"Ilocos Norte, 2nd District","Barba, Angelo Marcos","Barba, Angelo Marcos","Barba, Angelo Marcos","Marcos, Imelda Romualdez","Marcos, Imelda Romualdez","Marcos, Imelda Romualdez","Marcos, Ferdinand Jr. ""Bongbong"" Romualdez","Marcos, Maria Imelda Josefa ""Imee"" Romualdez","Marcos, Maria Imelda Josefa ""Imee"" Romualdez","Marcos, Maria Imelda Josefa ""Imee"" Romualdez","Valdez, Simeon Marcos","Marcos, Ferdinand Jr. ""Bongbong"" Romualdez","Nalupta, Mariano Jr. ""Anno"" Rosario"
CARAGA (Caraga Administrative Region),"Surigao del Norte, 2nd District","Barbers, Bernadette ""Badette""S.","Barbers, Robert Ace Smith","Barbers, Robert Ace Smith","Barbers, Robert Ace Smith","Romarate, Guillermo Jr. ""Jun"" A.","Romarate, Guillermo Jr. ""Jun"" A.","Romarate, Guillermo Jr. ""Jun"" A.","Barbers, Robert Ace Smith","Barbers, Robert Ace Smith","Barbers, Robert Ace Smith","Barbers, Robert ""Bobby"" Zabala","Barbers, Robert ""Bobby"" Zabala","Navarro, Constantino “Oguing” C."
Region VI (Western Visayas),"Iloilo City, Lone District","Baronda, Julienne ""Jam-jam Linaogo","Baronda, Julienne ""Jam-jam Linaogo","Baronda, Julienne ""Jam"" L.","Treñas, Jerry P.","Treñas, Jerry P.","Treñas, Jerry P.","Gonzalez, Raul Jr. Trinidad","Gonzalez, Raul Jr. Trinidad","Gonzalez, Raul Maravilla","Gonzalez, Raul Maravilla","Gonzalez, Raul Maravilla","Lopez-Vito, Rafael ""Paeng"" J.","Lopez-Vito, Rafael ""Paeng"" J."
Region IV-A (CALABARZON),"Cavite, 4th District","Barzaga, Francisco ""Kiko"" Austria","Barzaga, Elpidio ""Pidi"" Frani","Braganza, Elpidio ""Pidi"" Jr. Frani","Austria-Barzaga, Jennifer ""Jenny"" Narvaez","Braganza, Elpidio ""Pidi"" Jr. Frani","Braganza, Elpidio ""Pidi"" Jr. Frani",,,,,,,
CARAGA (Caraga Administrative Region),"Agusan del Sur, 1st District","Bascug, Alfelito ""Alfel"" Maraon","Bascug, Alfelito ""Alfel"" Maraon","Bascug, Alfelito ""Alfel"" Maraon","Plaza, Maria Valentina Galido","Plaza, Maria Valentina Galido","Plaza, Maria Valentina Galido",,,,,,,
Region XI (Davao Region),"Davao Occidental, Lone District","Baustista, Claude ""Auding"" P","Baustista, Claude ""Auding"" P","Bautista-Bandigan, Lorna P.","Bautista-Bandigan, Lorna P.",,,,,,,,,
Region VI (Western Visayas),"Negros Occidental, 3rd District","Benitez, Jose Francisco ""Kiko"" Bantug","Benitez, Jose Francisco ""Kiko"" Bantug","Benitez, Francisco ""Kiko"" B.","Benitez, Alfredo Abelardo ""Albee"" Bantug","Benitez, Alfredo Abelardo ""Albee"" Bantug","Benitez, Alfredo Abelardo ""Albee"" Bantug","Lacson, Jose Carlos V.","Lacson, Jose Carlos V.","Lacson, Jose Carlos V.","Yotoko-Villanueva, Edith A.","Lacson, Jose Carlos V.","Lacson, Jose Carlos V.","Lacson, Jose Carlos V."
CAR (Cordillera Administrative Region),"Abra, Lone District",,"Bernos, Mechie ""Ching"" B.","Bernos, Joseph Sto. Niño ""JB"" Blando","Bernos, Joseph Sto. Niño ""JB"" Blando","Bernos, Maria Jocelyn Valera","Bernos, Maria Jocelyn Valera","Seares-Luna, Cecilia M.","Bersamin, Luis Jr. ""Chito"" P.","Bersamin, Luis Jr. ""Chito"" P.","Valera, Vicente Isidro ""Vic-Sid"" P.","Zapata, Jeremias Z.","Zapata, Jeremias Z.","Bernardez, Rudolfo A."
Region VI (Western Visayas),"Capiz, 1st District","Billones, Emmanuel ""Tawi"" Acuna","Billones, Emmanuel ""Tawi"" Acuna","Billones, Emmanuel ""Tawi"" A.","Billones, Emmanuel ""Tawi"" A.","Del Rosario, Antonio A.","Del Rosario, Antonio A.","Del Rosario, Antonio A.","Dadivas, Rodriguez ""Roging"" D.","Dadivas, Rodriguez ""Roging"" D.","Roxas, Manuel II ""Mar"" Araneta","Roxas, Manuel II ""Mar"" Araneta","Roxas, Gerardo Jr. ""Dinggoy"" Araneta; 
Roxas, Manuel II ""Mar"" Araneta","Roxas, Gerardo Jr. ""Dinggoy"" Araneta"
Region VI (Western Visayas),"Iloilo, 4th District","Biron, Ferjenel ""Ferj"" Gonzales","Biron, Ferjenel ""Ferj"" Gonzales","Biron, Braeden John Q.","Biron, Ferjenel Gonzales","Biron, Hernan Jr. ""Jun"" Gonzales","Biron, Ferjenel Gonzales","Biron, Ferjenel Gonzales","Biron, Ferjenel Gonzales","Monfort, Narciso ""Narcing"" Dolar","Monfort, Narciso ""Narcing"" Dolar","Monfort, Narciso ""Narcing"" Dolar","Panes, Nicetas P.","Monfort, Narciso ""Narcing"" Dolar"
Region IV-A (CALABARZON),"Batangas, 4th District","Bolilia, Lianda B.","Bolilia, Lianda B.","Bolilia, Lianda B.","Bolilia, Lianda B.","Mendoza, Mark Llandro ""Dong"" L.","Mendoza, Mark Llandro ""Dong"" L.","Mendoza, Mark Llandro ""Dong"" L.","Gozos, Oscar L.","Gozos, Oscar L.","Recto, Ralph Gonzales","Recto, Ralph Gonzales","Recto, Ralph Gonzales","Calingasan, Jose E."
Region III (Central Luzon),"Pampanga, 4th District","Bondoc, Anna York ""Doktora"" Puyat","Bondoc, Anna York ""Doktora"" Puyat","Bondoc, Juan Pablo ""Rimpy"" Puyat","Bondoc, Juan Pablo ""Rimpy"" Puyat","Bondoc, Juan Pablo ""Rimpy"" Puyat","Bondoc-Sagum, Anna York Cristina Puyat","Bondoc-Sagum, Anna York Cristina Puyat","Bondoc-Sagum, Anna York Cristina Puyat","Bondoc, Juan Pablo ""Rimpy"" Puyat","Bondoc, Juan Pablo ""Rimpy"" Puyat","Bondoc, Emigdio Aliwalas","Bondoc, Emigdio Aliwalas","Pineda, Marciano M.; 
Bondoc, Emigdio Aliwalas"
Region V (Bicol Region),"Camarines Sur, 3rd District","Lgeacion, Nelson S.","Bordado, Gabriel  Jr. ""Gabby""  Hidalgo","Bordado, Gabriel Jr. ""Gabby"" Hidalgo","Bordado, Gabriel Jr. ""Gabby"" Hidalgo","Robredo, Maria Leonor ""Leni"" Gerona","Villafuerte, Luis Sr. Robredo","Fuentebella, Arnulfo Palma","Fuentebella, Arnulfo Palma","Fuentebella, Felix William ""Wimpy"" Buquid","Fuentebella, Arnulfo Palma","Fuentebella, Arnulfo Palma","Fuentebella, Arnulfo Palma","Pilapil, Eduardo P."
Region IV-A (CALABARZON),"Batangas, 1st District","Buhain, Joseph Eric Reyes","Buhain, Joseph Eric Reyes","Ermita-Buhain, Elenita Milagros ""Eileen"" Ramos","Ermita-Buhain, Elenita Milagros ""Eileen"" Ramos","Ermita-Buhain, Elenita Milagros ""Eileen"" Ramos","Apacible, Tomas ""Tom"" V.","Ermita-Buhain, Elenita Milagros ""Eileen"" Ramos","Ermita-Buhain, Elenita Milagros ""Eileen"" Ramos","Ermita-Buhain, Elenita Milagros ""Eileen"" Ramos","Ermita, Eduardo R.","Ermita, Eduardo R.","Ermita, Eduardo R.","Apacible, Conrado ""Dong"" V."
CAR (Cordillera Administrative Region),"Apayao, Lone District","Bulut-Begtang, Eleanor C. ","Bulut-Begtang, Eleanor C. ","Bulut, Elias Jr. C.","Bulut-Begtang, Eleanor C.","Bulut-Begtang, Eleanor C.","Bulut-Begtang, Eleanor C.","Bulut, Elias Jr. C.","Bulut, Elias Jr. C.","Bulut, Elias Jr. C.","Bulut, Elias Sr. K.",,,
Region V (Bicol Region),"Albay, 3rd District","Salceda, Adrian E.","Cabredo, Fernando ""Didi"" Tibor","Cabredo, Fernando T.","Gonzalez, Fernando Vallejo","Gonzalez, Fernando Vallejo","Gonzalez, Fernando Vallejo","Lim, Reno G.","Salceda, Jose Ma. Clemente ""Joey"" Sarte","Salceda, Jose Ma. Clemente ""Joey"" Sarte","Salceda, Jose Ma. Clemente ""Joey"" Sarte","Salalima, Romeo Rayala","Bichara, Al Francis C.","Sarte, Efren R."
Region XI (Davao Region),"Davao del Sur, Lone District","Cagas, John Tracy F.","Cagas, John Tracy F.","Cagas, Mercedes ""Didi"" Chan","Cagas, Mercedes ""Didi"" Chan",,,,,,,,,
NCR (National Capital Region),"Caloocan City, 2nd District","Erice, Edgar ""Egay"" R.","Cajayon-Uy, Mary Mitzi ""Mitch"" Lim","Erice, Edgar ""Egay"" R.","Erice, Edgar ""Egay"" R.","Erice, Edgar ""Egay"" R.","Cajayon-Uy, Mary Mitzi Lim","Cajayon-Uy, Mary Mitzi Lim","Asistio, Luis ""Baby"" A.","Erice, Edgar ""Egay"" R.","Asistio, Luis ""Baby"" A.","Asistio, Luis ""Baby"" A.","Asistio, Luis ""Baby"" A.","Cabochan, Gerardo ""Gerry"" P."
Region VII (Central Visayas),"Cebu, 7th District","Calderon, Patricia C.","Calderon, Peter John Durano","Calderon, Peter John Durano","Calderon, Peter John Durano",,,,,,,,,
